| schema_name    |
| -------------- |
| auth           |
| backup         |
| extensions     |
| graphql        |
| graphql_public |
| public         |
| realtime       |
| storage        |
| vault          || table_name                  | ordinal_position | column_name            | data_type                | pg_type             | is_nullable | column_default                 |
| --------------------------- | ---------------- | ---------------------- | ------------------------ | ------------------- | ----------- | ------------------------------ |
| settings_meta               | 2                | section                | text                     | text                | NO          | 'General'::text                |
| settings_meta               | 3                | label                  | text                     | text                | NO          | null                           |
| settings_meta               | 4                | description            | text                     | text                | YES         | null                           |
| settings_meta               | 5                | input_type             | text                     | text                | NO          | 'text'::text                   |
| settings_meta               | 6                | sort_order             | integer                  | int4                | NO          | 100                            |
| settings_meta               | 7                | updated_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| settings_meta               | 8                | created_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| top_products_7d_pipeline    | 1                | product_id             | uuid                     | uuid                | YES         | null                           |
| top_products_7d_pipeline    | 2                | product_name           | text                     | text                | YES         | null                           |
| top_products_7d_pipeline    | 3                | qty_sold               | bigint                   | int8                | YES         | null                           |
| top_products_7d_pipeline    | 4                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| top_products_7d_pipeline    | 5                | cogs_cents             | bigint                   | int8                | YES         | null                           |
| top_products_7d_pipeline    | 6                | profit_cents           | bigint                   | int8                | YES         | null                           |
| top_products_7d_realized    | 1                | product_id             | uuid                     | uuid                | YES         | null                           |
| top_products_7d_realized    | 2                | product_name           | text                     | text                | YES         | null                           |
| top_products_7d_realized    | 3                | qty_sold               | bigint                   | int8                | YES         | null                           |
| top_products_7d_realized    | 4                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| top_products_7d_realized    | 5                | cogs_cents             | bigint                   | int8                | YES         | null                           |
| top_products_7d_realized    | 6                | profit_cents           | bigint                   | int8                | YES         | null                           |
| v_daily_sales               | 1                | day                    | date                     | date                | YES         | null                           |
| v_daily_sales               | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
| v_daily_sales               | 3                | subtotal_cents         | bigint                   | int8                | YES         | null                           |
| v_daily_sales               | 4                | delivery_fee_cents     | bigint                   | int8                | YES         | null                           |
| v_daily_sales               | 5                | total_cents            | bigint                   | int8                | YES         | null                           |
| v_fulfillment_split         | 1                | fulfillment            | USER-DEFINED             | fulfillment_type    | YES         | null                           |
| v_fulfillment_split         | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
| v_fulfillment_split         | 3                | total_cents            | bigint                   | int8                | YES         | null                           |
| v_payment_split             | 1                | payment_method         | USER-DEFINED             | payment_method_type | YES         | null                           |
| v_payment_split             | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
